model,threshold,rollout_steps,token_accuracy,exact_match
"Loopholing (BPTT, tied emb)",0.05,26.7,0.8528,0.7445
"Loopholing (BPTT, tied emb)",0.1,23.23,0.8375,0.7007
"Loopholing (BPTT, tied emb)",0.15,21.01,0.8226,0.658
"Loopholing (BPTT, tied emb)",0.2,19.05,0.807,0.6152
"Loopholing (BPTT, tied emb)",0.25,17.72,0.7925,0.574
MLM uniform,0.05,37.428,0.6327,0.3257
MLM uniform,0.1,35.58,0.6315,0.3112
MLM uniform,0.15,33.316,0.6264,0.2847
MLM uniform,0.2,30.432,0.6196,0.2565
MLM uniform,0.25,27.638,0.6137,0.2313
Loopholing (no BPTT),0.05,29.236,0.8358,0.7035
Loopholing (no BPTT),0.1,24.646,0.8189,0.6523
Loopholing (no BPTT),0.15,21.984,0.8033,0.6051
Loopholing (no BPTT),0.2,19.962,0.7879,0.5591
Loopholing (no BPTT),0.25,18.326,0.774,0.5165
Loopholing (BPTT),0.05,29.654,0.8525,0.739
Loopholing (BPTT),0.1,25.02,0.8363,0.691
Loopholing (BPTT),0.15,22.236,0.8204,0.6431
Loopholing (BPTT),0.2,20.156,0.8049,0.5974
Loopholing (BPTT),0.25,18.536,0.7906,0.5546
